PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	26	0	0	0	0
2	1		sleeping	  1	0	0	1	24	0	0	0
3	0		running 	  1	0	0	1	0	0	0	0
4	0		runnable	  0	1	0	1	0	0	0	0
5	0		runnable	  0	1	0	1	0	0	0	0
6	0		runnable	  0	1	0	1	0	0	0	0
7	0		runnable	  0	1	0	1	0	0	0	0
8	0		runnable	  0	1	0	1	0	0	0	0
9	0		runnable	  0	1	0	1	0	0	0	0
10	0		runnable	  0	1	0	1	0	0	0	0
11	0		runnable	  0	1	0	1	0	0	0	0
12	0		runnable	  0	1	0	1	0	0	0	0
13	0		runnable	  0	1	0	1	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	27	0	0	0	0
2	1		sleeping	  1	0	0	1	25	0	0	0
3	1		runnable	  1	1	0	1	1	0	0	0
4	0		sleeping	  0	1	0	2	0	0	0	0
5	0		sleeping	  0	1	0	2	0	0	0	0
6	0		sleeping	  0	1	0	2	0	0	0	0
7	0		sleeping	  0	1	0	2	0	0	0	0
8	0		sleeping	  0	1	0	2	0	0	0	0
9	0		running 	  1	1	0	2	0	0	0	0
10	0		runnable	  0	2	0	2	0	0	0	0
11	0		runnable	  0	2	0	2	0	0	0	0
12	0		runnable	  0	2	0	2	0	0	0	0
13	0		runnable	  0	2	0	2	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	28	0	0	0	0
2	1		sleeping	  1	0	0	1	26	0	0	0
3	1		runnable	  1	2	0	1	2	0	0	0
4	0		runnable	  0	1	0	3	0	0	0	0
5	0		runnable	  0	1	0	3	0	0	0	0
6	0		runnable	  0	1	0	3	0	0	0	0
7	0		runnable	  0	1	0	3	0	0	0	0
8	0		runnable	  0	1	0	3	0	0	0	0
9	1		runnable	  1	1	0	2	1	0	0	0
10	0		running 	  1	2	0	3	0	0	0	0
11	0		runnable	  0	3	0	3	0	0	0	0
12	0		runnable	  0	3	0	3	0	0	0	0
13	0		runnable	  0	3	0	3	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	29	0	0	0	0
2	1		sleeping	  1	0	0	1	27	0	0	0
3	1		runnable	  1	3	0	1	3	0	0	0
4	0		runnable	  0	2	0	4	0	0	0	0
5	0		runnable	  0	2	0	4	0	0	0	0
6	0		runnable	  0	2	0	4	0	0	0	0
7	0		runnable	  0	2	0	4	0	0	0	0
8	0		runnable	  0	2	0	4	0	0	0	0
9	1		runnable	  1	2	0	2	2	0	0	0
10	1		runnable	  1	1	0	3	1	0	0	0
11	0		running 	  1	3	0	4	0	0	0	0
12	0		runnable	  0	4	0	4	0	0	0	0
13	0		runnable	  0	4	0	4	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	30	0	0	0	0
2	1		sleeping	  1	0	0	1	28	0	0	0
3	1		runnable	  1	4	0	1	4	0	0	0
4	0		runnable	  0	3	0	5	0	0	0	0
5	0		runnable	  0	3	0	5	0	0	0	0
6	0		runnable	  0	3	0	5	0	0	0	0
7	0		runnable	  0	3	0	5	0	0	0	0
8	0		runnable	  0	3	0	5	0	0	0	0
9	1		runnable	  1	3	0	2	3	0	0	0
10	1		runnable	  1	2	0	3	2	0	0	0
11	1		runnable	  1	1	0	4	1	0	0	0
12	0		running 	  1	4	0	5	0	0	0	0
13	0		runnable	  0	5	0	5	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	31	0	0	0	0
2	1		sleeping	  1	0	0	1	29	0	0	0
3	1		runnable	  1	5	0	1	5	0	0	0
4	0		runnable	  0	4	0	6	0	0	0	0
5	0		runnable	  0	4	0	6	0	0	0	0
6	0		runnable	  0	4	0	6	0	0	0	0
7	0		runnable	  0	4	0	6	0	0	0	0
8	0		runnable	  0	4	0	6	0	0	0	0
9	1		runnable	  1	4	0	2	4	0	0	0
10	1		runnable	  1	3	0	3	3	0	0	0
11	1		runnable	  1	2	0	4	2	0	0	0
12	1		runnable	  1	1	0	5	1	0	0	0
13	0		running 	  1	5	0	6	0	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	32	0	0	0	0
2	1		sleeping	  1	0	0	1	30	0	0	0
3	1		running 	  2	5	0	1	6	0	0	0
4	0		sleeping	  0	4	0	7	0	0	0	0
5	0		sleeping	  0	4	0	7	0	0	0	0
6	0		sleeping	  0	4	0	7	0	0	0	0
7	0		sleeping	  0	4	0	7	0	0	0	0
8	0		sleeping	  0	4	0	7	0	0	0	0
9	1		runnable	  1	5	0	2	5	0	0	0
10	1		runnable	  1	4	0	3	4	0	0	0
11	1		runnable	  1	3	0	4	3	0	0	0
12	1		runnable	  1	2	0	5	2	0	0	0
13	1		runnable	  1	1	0	6	1	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	33	0	0	0	0
2	1		sleeping	  1	0	0	1	31	0	0	0
3	1		running 	  3	5	0	1	7	0	0	0
4	0		runnable	  0	1	0	8	0	0	0	0
5	0		runnable	  0	1	0	8	0	0	0	0
6	0		runnable	  0	1	0	8	0	0	0	0
7	0		runnable	  0	1	0	8	0	0	0	0
8	0		runnable	  0	1	0	8	0	0	0	0
9	1		runnable	  1	6	0	2	6	0	0	0
10	1		runnable	  1	5	0	3	5	0	0	0
11	1		runnable	  1	4	0	4	4	0	0	0
12	1		runnable	  1	3	0	5	3	0	0	0
13	1		runnable	  1	2	0	6	2	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	34	0	0	0	0
2	1		sleeping	  1	0	0	1	32	0	0	0
3	2		runnable	  3	1	0	1	7	1	0	0
4	0		sleeping	  0	1	0	9	0	0	0	0
5	0		sleeping	  0	1	0	9	0	0	0	0
6	0		sleeping	  0	1	0	9	0	0	0	0
7	0		sleeping	  0	1	0	9	0	0	0	0
8	0		sleeping	  0	1	0	9	0	0	0	0
9	1		running 	  2	6	0	2	7	0	0	0
10	1		runnable	  1	6	0	3	6	0	0	0
11	1		runnable	  1	5	0	4	5	0	0	0
12	1		runnable	  1	4	0	5	4	0	0	0
13	1		runnable	  1	3	0	6	3	0	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	35	0	0	0	0
